Time (UTC),Open,High,Low,Close,Volume
2007.09.05 21:00:00,1.36464,1.37109,1.36328,1.36902,725746.623
2007.09.06 21:00:00,1.36904,1.37988,1.36614,1.37667,762724.917
2007.09.09 21:00:00,1.37695,1.38164,1.37663,1.38012,804237.392
2007.09.10 21:00:00,1.38033,1.38487,1.3776,1.3839,769381.249
2007.09.11 21:00:00,1.384,1.39154,1.38231,1.3903,768711.102
2007.09.12 21:00:00,1.39045,1.39279,1.3861,1.38857,767518.128
2007.09.13 21:00:00,1.38853,1.38961,1.3843,1.38752,767166.62
2007.09.16 21:00:00,1.3871,1.38913,1.38484,1.38673,728817.88
2007.09.17 21:00:00,1.38676,1.39893,1.3828,1.39839,763700.479
2007.09.18 21:00:00,1.39824,1.39877,1.39332,1.39581,763179.815
2007.09.19 21:00:00,1.3956,1.41003,1.3954,1.40653,764241.75
2007.09.20 21:00:00,1.40639,1.41205,1.40404,1.40895,761188.673
2007.09.23 21:00:00,1.40915,1.41307,1.40663,1.40868,793232.243
2007.09.24 21:00:00,1.40873,1.41546,1.40571,1.41364,760608.415
2007.09.25 21:00:00,1.41376,1.41636,1.41093,1.41281,759305.278
2007.09.26 21:00:00,1.41285,1.41909,1.41216,1.41513,760541.243
2007.09.27 21:00:00,1.41534,1.42782,1.41429,1.4268,760503.979
2007.09.30 21:00:00,1.42753,1.42828,1.4208,1.42307,763505.58
2007.10.01 21:00:00,1.42319,1.42414,1.41363,1.4155,762013.9
2007.10.02 21:00:00,1.41596,1.42019,1.40817,1.40904,761978.602
2007.10.03 21:00:00,1.40912,1.41502,1.40647,1.4139,762892.341
2007.10.04 21:00:00,1.41385,1.41578,1.40329,1.4136,760085.121
2007.10.07 21:00:00,1.4137,1.41556,1.40337,1.40475,724344.936
2007.10.08 21:00:00,1.40468,1.41171,1.40109,1.41039,765978.83
2007.10.09 21:00:00,1.41075,1.41732,1.40928,1.41452,764304.74
2007.10.10 21:00:00,1.41441,1.42416,1.41332,1.4196,767357.54
2007.10.11 21:00:00,1.41959,1.42129,1.41537,1.41773,764969.777
2007.10.14 21:00:00,1.41759,1.4244,1.41579,1.4205,804742.237
2007.10.15 21:00:00,1.42048,1.4228,1.41411,1.4173,762813.393
